Model,Scenario,Region,iso,Country,Subvector,Unit,Initial Extent (Mha),Initial Loss Rate (%),Rate of Improvement,Mitigation (Mg CO2/ha),Duration
PD22,Pathway,PAK,AFG,Afghanistan,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,EEU,ALB,Albania,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,0.0000,#VALUE!
PD22,Pathway,NAF,DZA,Algeria,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-M,AGO,Angola,Avoided Coastal Impacts,Mha,0.0375,-0.6882,0.00196,1613.2830,145.2982371
PD22,Pathway,LAM-M,ARG,Argentina,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,CAS,ARM,Armenia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,ANUZ,AUS,Australia,Avoided Coastal Impacts,Mha,0.9953,-0.6155,0.00196,1362.5146,162.474776
PD22,Pathway,EU15,AUT,Austria,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,CAS,AZE,Azerbaijan,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-CPA,KHM,Cambodia,Avoided Forest Conversion,Mha,10.6671,-2.0324,0.0002,806.7303,49.2028136
PD22,Pathway,OAS-M,MYS,Malaysia,Avoided Forest Conversion,Mha,29.2664,-1.8439,0.0002,877.5001,54.23351516
PD22,Pathway,LAM-M,BHS,Bahamas,Avoided Coastal Impacts,Mha,0.1079,-1.4147,0.00196,2332.4400,70.68457253
PD22,Pathway,OAS-L,BGD,Bangladesh,Avoided Coastal Impacts,Mha,0.4099,-0.4617,0.00196,780.9685,216.6061795
PD22,Pathway,EEU-FSU,BLR,Belarus,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-M,PRY,Paraguay,Avoided Forest Conversion,Mha,0.2813,-1.4099,0.0002,NA,70.9272782
PD22,Pathway,EU15,BEL,Belgium,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-L,BLZ,Belize,Avoided Coastal Impacts,Mha,0.0534,-4.9932,0.00196,1505.9473,20.02712275
PD22,Pathway,SSA-L,BEN,Benin,Avoided Coastal Impacts,Mha,0.0001,-16.6173,0.00196,1134.7518,6.017816805
PD22,Pathway,OAS-M,BTN,Bhutan,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-M,BOL,Bolivia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,EEU,BIH,Bosnia and Herzegovina,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-M,BWA,Botswana,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,BRA,BRA,Brazil,Avoided Coastal Impacts,Mha,1.1241,-0.7060,0.00196,1367.9505,141.6525105
PD22,Pathway,OAS-M,BRN,Brunei Darussalam,Avoided Coastal Impacts,Mha,0.0109,-0.5019,0.00196,2197.0267,199.2507486
PD22,Pathway,EU12-M,BGR,Bulgaria,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,BFA,Burkina Faso,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,BDI,Burundi,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-CPA,VNM,Vietnam,Avoided Forest Conversion,Mha,18.4649,-1.0076,0.0002,682.2217,99.2480255
PD22,Pathway,IDN,IDN,Indonesia,Avoided Forest Conversion,Mha,162.7072,-0.9805,0.0002,822.4690,101.9854429
PD22,Pathway,OAS-CPA,KHM,Cambodia,Avoided Coastal Impacts,Mha,0.0633,-1.3266,0.00196,1301.4003,75.38216311
PD22,Pathway,SSA-L,CMR,Cameroon,Avoided Coastal Impacts,Mha,0.1886,-0.3121,0.00196,1700.8751,320.3625941
PD22,Pathway,CAN,CAN,Canada,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,CPV,Cape Verde,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,CAF,Central African Republic,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,TCD,Chad,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-M,CHL,Chile,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,CHN,CHN,China,Avoided Coastal Impacts,Mha,0.0158,-2.3719,0.00196,982.2664,42.15957852
PD22,Pathway,LAM-M,COL,Colombia,Avoided Coastal Impacts,Mha,0.2470,-1.2891,0.00196,2022.1378,77.57451813
PD22,Pathway,SSA-L,COM,Comoros,Avoided Coastal Impacts,Mha,0.0001,-0.0278,0.00196,1792.4528,3601.937886
PD22,Pathway,LAM-M,ARG,Argentina,Avoided Forest Conversion,Mha,45.6232,-0.6202,0.0002,355.6880,161.2289843
PD22,Pathway,LAM-M,CRI,Costa Rica,Avoided Coastal Impacts,Mha,0.0375,-0.5676,0.00196,1441.5534,176.1838595
PD22,Pathway,OAS-CPA,LAO,Laos,Avoided Forest Conversion,Mha,20.1274,-0.5810,0.0002,781.6065,172.106994
PD22,Pathway,SSA-L,CIV,Cote d'Ivoire,Avoided Coastal Impacts,Mha,0.0063,-1.2626,0.00196,1251.7265,79.201967
PD22,Pathway,EEU,HRV,Croatia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-M,CUB,Cuba,Avoided Coastal Impacts,Mha,0.3517,-0.7385,0.00196,1835.9771,135.4106112
PD22,Pathway,EU12-H,CYP,Cyprus,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,EU12-H,CZE,Czech Republic,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-L,PRK,Democratic People's Republic of Korea (North Korea),Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,COD,Democratic Republic of the Congo (DRC),Avoided Coastal Impacts,Mha,0.0275,-0.5176,0.00196,1679.4210,193.188444
PD22,Pathway,EU15,DNK,Denmark (except Greenland),Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,DJI,Djibouti,Avoided Coastal Impacts,Mha,0.0005,-0.3046,0.00196,1257.6065,328.3118938
PD22,Pathway,LAM-M,DOM,Dominican Republic,Avoided Coastal Impacts,Mha,0.0197,-0.6817,0.00196,1635.6560,146.6958802
PD22,Pathway,LAM-M,BOL,Bolivia,Avoided Forest Conversion,Mha,67.8469,-0.3886,0.0002,683.3392,257.313845
PD22,Pathway,LAM-M,ECU,Ecuador,Avoided Coastal Impacts,Mha,0.1451,-0.7727,0.00196,1559.4876,129.4177099
PD22,Pathway,NAF,EGY,Egypt,Avoided Coastal Impacts,Mha,0.0002,-0.7381,0.00196,1086.9565,135.474238
PD22,Pathway,BRA,BRA,Brazil,Avoided Forest Conversion,Mha,568.3118,-0.3776,0.0002,775.0270,264.8361061
PD22,Pathway,LAM-M,SLV,El Salvador,Avoided Coastal Impacts,Mha,0.0383,-1.0511,0.00196,1215.8349,95.14173976
PD22,Pathway,SSA-M,GNQ,Equatorial Guinea,Avoided Coastal Impacts,Mha,0.0251,-0.3830,0.00196,1627.9352,261.0845536
PD22,Pathway,SSA-L,ERI,Eritrea,Avoided Coastal Impacts,Mha,0.0071,-0.5286,0.00196,1423.2585,189.1703164
PD22,Pathway,LAM-L,BLZ,Belize,Avoided Forest Conversion,Mha,1.6853,-0.3199,0.0002,680.0781,312.5668375
PD22,Pathway,EU12-H,EST,Estonia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,ETH,Ethiopia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,,FLK,Falkland Islands,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-M,THA,Thailand,Avoided Forest Conversion,Mha,22.3733,-0.2761,0.0002,778.3583,362.1765314
PD22,Pathway,,FRO,Faroe Islands,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-L,MMR,Myanmar,Avoided Forest Conversion,Mha,45.3080,-0.2655,0.0002,749.0705,376.6376374
PD22,Pathway,MEA-M,LBN,Lebanon,Avoided Forest Conversion,Mha,0.1168,-0.2327,0.0002,496.1817,429.7868671
PD22,Pathway,OAS-L,FJI,Fiji,Avoided Coastal Impacts,Mha,0.0514,-0.2693,0.00196,1751.2236,371.3375424
PD22,Pathway,OAS-L,PHL,Philippines,Avoided Forest Conversion,Mha,20.2294,-0.1965,0.0002,853.9157,508.8939394
PD22,Pathway,EU15,FIN,Finland,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,OAS-M,BRN,Brunei Darussalam,Avoided Forest Conversion,Mha,0.4241,-0.1758,0.0002,1068.7116,568.9556561
PD22,Pathway,SSA-L,SLE,Sierra Leone,Avoided Forest Conversion,Mha,6.5673,-0.1363,0.0002,453.8555,733.4784618
PD22,Pathway,SSA-L,LBR,Liberia,Avoided Forest Conversion,Mha,9.5123,-0.1284,0.0002,625.1877,778.8919897
PD22,Pathway,LAM-L,HND,Honduras,Avoided Forest Conversion,Mha,8.7174,-0.1244,0.0002,864.1105,803.5851146
PD22,Pathway,NAF,DZA,Algeria,Avoided Forest Conversion,Mha,1.8671,-0.1136,0.0002,508.7480,880.0593435
PD22,Pathway,EU15,FRA,France (except French Guiana),Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-L,GTM,Guatemala,Avoided Forest Conversion,Mha,8.6059,-0.1085,0.0002,509.2660,922.057383
PD22,Pathway,LAM-M,GUF,French Guiana (France),Avoided Coastal Impacts,Mha,0.0434,-1.5564,0.00196,1132.3196,64.24913227
PD22,Pathway,TUR,TUN,Tunisia,Avoided Forest Conversion,Mha,0.3391,-0.1054,0.0002,575.7637,948.6805741
PD22,Pathway,NAF,MAR,Morocco,Avoided Forest Conversion,Mha,1.2762,-0.0984,0.0002,349.1674,1015.997232
PD22,Pathway,OAS-M,PYF,French Polynesia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,LAM-M,BHS,Bahamas,Avoided Forest Conversion,Mha,0.2850,-0.0834,0.0002,316.0539,1199.31743
PD22,Pathway,OAS-M,LKA,Sri Lanka,Avoided Forest Conversion,Mha,4.4166,-0.0730,0.0002,550.2797,1370.305923
PD22,Pathway,SSA-L,GIN,Guinea,Avoided Forest Conversion,Mha,24.0479,-0.0721,0.0002,732.0568,1386.838352
PD22,Pathway,LAM-M,COL,Colombia,Avoided Forest Conversion,Mha,86.1382,-0.0683,0.0002,951.6224,1463.874648
PD22,Pathway,LAM-M,URY,Uruguay,Avoided Forest Conversion,Mha,1.9745,-0.0660,0.0002,510.5740,1516.22429
PD22,Pathway,LAM-L,NIC,Nicaragua,Avoided Forest Conversion,Mha,8.4983,-0.0608,0.0002,843.9572,1644.063533
PD22,Pathway,LAM-M,DOM,Dominican Republic,Avoided Forest Conversion,Mha,2.9880,-0.0563,0.0002,513.1039,1777.420903
PD22,Pathway,LAM-M,PER,Peru,Avoided Forest Conversion,Mha,80.1694,-0.0529,0.0002,1107.1449,1890.023216
PD22,Pathway,SSA-M,GAB,Gabon,Avoided Coastal Impacts,Mha,0.1779,-0.3222,0.00196,1926.1486,310.3773198
PD22,Pathway,SSA-L,GMB,"Gambia, The",Avoided Coastal Impacts,Mha,0.0595,-0.7123,0.00196,973.9270,140.3951195
PD22,Pathway,MEX,MEX,Mexico,Avoided Forest Conversion,Mha,70.3735,-0.0475,0.0002,396.1165,2106.05499
PD22,Pathway,LAM-M,CHL,Chile,Avoided Forest Conversion,Mha,21.1978,-0.0470,0.0002,571.4142,2127.778232
PD22,Pathway,CAS,GEO,Georgia,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-M,GNQ,Equatorial Guinea,Avoided Forest Conversion,Mha,2.5949,-0.0416,0.0002,768.3966,2401.327185
PD22,Pathway,OAS-L,SLB,Solomon Islands,Avoided Forest Conversion,Mha,2.7517,-0.0415,0.0002,1058.8243,2407.133801
PD22,Pathway,USA,USA,United States (except Alaska),Avoided Forest Conversion,Mha,334.8046,-0.0408,0.0002,421.6196,2452.882037
PD22,Pathway,SSA-L,MDG,Madagascar,Avoided Forest Conversion,Mha,49.8329,-0.0406,0.0002,552.1057,2462.790923
PD22,Pathway,USA,PRI,Puerto Rico,Avoided Forest Conversion,Mha,0.5818,-0.0386,0.0002,722.5959,2593.670676
PD22,Pathway,OAS-L,FJI,Fiji,Avoided Forest Conversion,Mha,1.6374,-0.0384,0.0002,774.7644,2601.705751
PD22,Pathway,OAS-L,BGD,Bangladesh,Avoided Forest Conversion,Mha,2.3141,-0.0383,0.0002,591.6646,2613.150665
PD22,Pathway,SSA-L,CIV,Cote d'Ivoire,Avoided Forest Conversion,Mha,32.0447,-0.0361,0.0002,641.6960,2769.92527
PD22,Pathway,MEA-H,ISR,Israel,Avoided Forest Conversion,Mha,0.0623,-0.0338,0.0002,1.5400,2959.440571
PD22,Pathway,LAM-M,CUB,Cuba,Avoided Forest Conversion,Mha,4.4784,-0.0334,0.0002,524.9911,2990.372585
PD22,Pathway,ANUZ,AUS,Australia,Avoided Forest Conversion,Mha,118.1412,-0.0328,0.0002,275.3646,3050.810858
PD22,Pathway,LAM-M,VEN,Venezuela,Avoided Forest Conversion,Mha,59.8511,-0.0301,0.0002,724.3063,3320.525072
PD22,Pathway,OAS-M,BTN,Bhutan,Avoided Forest Conversion,Mha,2.6260,-0.0290,0.0002,853.0817,3453.705444
PD22,Pathway,EU15,DEU,Germany,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,GNB,Guinea-Bissau,Avoided Forest Conversion,Mha,2.4122,-0.0257,0.0002,877.2524,3889.13371
PD22,Pathway,SSA-M,REU,Reunion,Avoided Forest Conversion,Mha,0.2288,-0.0253,0.0002,441.8320,3957.337214
PD22,Pathway,ANUZ,KOR,Republic of Korea (South Korea),Avoided Forest Conversion,Mha,5.8507,-0.0236,0.0002,286.8995,4245.848558
PD22,Pathway,SSA-L,NGA,Nigeria,Avoided Forest Conversion,Mha,66.4272,-0.0233,0.0002,457.4010,4293.257662
PD22,Pathway,SSA-L,RWA,Rwanda,Avoided Forest Conversion,Mha,2.3468,-0.0233,0.0002,545.9232,4299.011374
PD22,Pathway,SSA-L,GHA,Ghana,Avoided Forest Conversion,Mha,22.9262,-0.0224,0.0002,589.2033,4463.197212
PD22,Pathway,SSA-L,UGA,Uganda,Avoided Forest Conversion,Mha,20.3492,-0.0223,0.0002,1048.6507,4489.197151
PD22,Pathway,OAS-M,NCL,New Caledonia,Avoided Forest Conversion,Mha,1.6466,-0.0218,0.0002,446.6964,4592.37273
PD22,Pathway,SSA-L,KEN,Kenya,Avoided Forest Conversion,Mha,22.1920,-0.0204,0.0002,787.4266,4894.493802
PD22,Pathway,ANUZ,NZL,New Zealand,Avoided Forest Conversion,Mha,11.7739,-0.0204,0.0002,663.8234,4907.753136
PD22,Pathway,SSA-L,CMR,Cameroon,Avoided Forest Conversion,Mha,44.7761,-0.0197,0.0002,840.3134,5071.7341
PD22,Pathway,SAF,ZAF,South Africa,Avoided Forest Conversion,Mha,46.1130,-0.0174,0.0002,670.6718,5732.307762
PD22,Pathway,OAS-L,TLS,Timor-Leste,Avoided Forest Conversion,Mha,0.9054,-0.0162,0.0002,832.1558,6154.836988
PD22,Pathway,SSA-L,COD,Democratic Republic of the Congo (DRC),Avoided Forest Conversion,Mha,229.8778,-0.0150,0.0002,1152.4471,6652.330009
PD22,Pathway,SSA-L,GHA,Ghana,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,1100.4996,#VALUE!
PD22,Pathway,OAS-L,VUT,Vanuatu,Avoided Forest Conversion,Mha,1.1858,-0.0140,0.0002,887.4898,7157.474751
PD22,Pathway,TUR,TUR,Turkey,Avoided Forest Conversion,Mha,14.0328,-0.0125,0.0002,423.4288,8005.494331
PD22,Pathway,SSA-L,BDI,Burundi,Avoided Forest Conversion,Mha,2.4470,-0.0121,0.0002,559.2375,8234.327892
PD22,Pathway,LAM-M,GUF,French Guiana (France),Avoided Forest Conversion,Mha,8.0685,-0.0116,0.0002,1147.6337,8591.192979
PD22,Pathway,LAM-M,PAN,Panama,Avoided Forest Conversion,Mha,5.8421,-0.0111,0.0002,851.9296,8978.77158
PD22,Pathway,LAM-M,SLV,El Salvador,Avoided Forest Conversion,Mha,1.1970,-0.0101,0.0002,577.7453,9928.052397
PD22,Pathway,SSA-L,GMB,"Gambia, The",Avoided Forest Conversion,Mha,0.8413,-0.0100,0.0002,446.1415,9951.721215
PD22,Pathway,LAM-M,SUR,Suriname,Avoided Forest Conversion,Mha,13.7136,-0.0100,0.0002,1092.8140,10002.51463
PD22,Pathway,CHN,CHN,China,Avoided Forest Conversion,Mha,201.1951,-0.0092,0.0002,493.8483,10889.84519
PD22,Pathway,OAS-L,PNG,Papua New Guinea,Avoided Forest Conversion,Mha,43.4804,-0.0082,0.0002,1039.4708,12148.65335
PD22,Pathway,SSA-L,MWI,Malawi,Avoided Forest Conversion,Mha,9.3720,-0.0074,0.0002,798.3403,13535.37497
PD22,Pathway,SSA-M,MUS,Mauritius,Avoided Forest Conversion,Mha,0.1798,-0.0065,0.0002,456.3324,15456.97782
PD22,Pathway,SSA-M,GAB,Gabon,Avoided Forest Conversion,Mha,25.8252,-0.0063,0.0002,1121.5872,15788.13335
PD22,Pathway,IND,IND,India,Avoided Forest Conversion,Mha,47.5449,-0.0061,0.0002,716.3181,16420.97063
PD22,Pathway,SSA-L,COG,Republic of Congo (ROC),Avoided Forest Conversion,Mha,34.0133,-0.0060,0.0002,1142.5503,16546.37452
PD22,Pathway,SSA-L,TZA,Tanzania,Avoided Forest Conversion,Mha,81.9639,-0.0054,0.0002,539.6807,18682.86197
PD22,Pathway,SSA-L,ZMB,Zambia,Avoided Forest Conversion,Mha,71.7797,-0.0053,0.0002,871.1849,18729.79757
PD22,Pathway,LAM-L,HTI,Haiti,Avoided Forest Conversion,Mha,1.1946,-0.0049,0.0002,546.6349,20385.28598
PD22,Pathway,LAM-M,GUY,Guyana,Avoided Forest Conversion,Mha,19.3139,-0.0042,0.0002,803.1539,23720.55479
PD22,Pathway,OAS-L,NPL,Nepal,Avoided Forest Conversion,Mha,5.6795,-0.0037,0.0002,710.7679,27248.87707
PD22,Pathway,LAM-M,CRI,Costa Rica,Avoided Forest Conversion,Mha,4.1372,-0.0035,0.0002,737.6675,28276.17681
PD22,Pathway,SSA-L,SWZ,Swaziland,Avoided Forest Conversion,Mha,1.6900,-0.0033,0.0002,1140.5722,30488.52991
PD22,Pathway,LAM-M,TTO,Trinidad and Tobago,Avoided Forest Conversion,Mha,0.3883,-0.0032,0.0002,558.2589,31689.67443
PD22,Pathway,CAN,CAN,Canada,Avoided Forest Conversion,Mha,483.6015,-0.0031,0.0002,300.7986,32021.91836
PD22,Pathway,SSA-M,AGO,Angola,Avoided Forest Conversion,Mha,115.9739,-0.0030,0.0002,712.2282,33491.02022
PD22,Pathway,LAM-M,ECU,Ecuador,Avoided Forest Conversion,Mha,20.2110,-0.0029,0.0002,568.8789,34707.65224
PD22,Pathway,EU15,GRC,Greece,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,BEN,Benin,Avoided Forest Conversion,Mha,11.4266,-0.0017,0.0002,383.0138,58436.02979
PD22,Pathway,SSA-L,MOZ,Mozambique,Avoided Forest Conversion,Mha,77.0694,-0.0016,0.0002,467.5000,61895.81943
PD22,Pathway,NAF,EGY,Egypt,Avoided Forest Conversion,Mha,1.9800,-0.0016,0.0002,394.4500,62240.49603
PD22,Pathway,EU15,GRL,Greenland (Denmark),Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,SSA-L,SEN,Senegal,Avoided Forest Conversion,Mha,9.0613,-0.0013,0.0002,589.0604,74922.1933
PD22,Pathway,LAM-M,GLP,Guadeloupe,Avoided Coastal Impacts,Mha,0.0037,-0.1092,0.00196,1879.7195,915.6990429
PD22,Pathway,SSA-L,TCD,Chad,Avoided Forest Conversion,Mha,29.1503,-0.0012,0.0002,318.2340,85071.19608
PD22,Pathway,SSA-L,BFA,Burkina Faso,Avoided Forest Conversion,Mha,14.0585,-0.0009,0.0002,305.8881,115395.2229
PD22,Pathway,SSA-L,ETH,Ethiopia,Avoided Forest Conversion,Mha,59.2896,-0.0009,0.0002,710.1206,117593.6575
PD22,Pathway,SSA-L,ZWE,Zimbabwe,Avoided Forest Conversion,Mha,33.1565,-0.0007,0.0002,365.8759,148306.1216
PD22,Pathway,CAS,AZE,Azerbaijan,Avoided Forest Conversion,Mha,1.6075,-0.0006,0.0002,196.8443,170817.8245
PD22,Pathway,LAM-L,GTM,Guatemala,Avoided Coastal Impacts,Mha,0.0247,-1.7164,0.00196,1237.5150,58.26028386
PD22,Pathway,SSA-L,CAF,Central African Republic,Avoided Forest Conversion,Mha,62.1658,-0.0004,0.0002,994.4709,228559.9353
PD22,Pathway,SSA-L,TGO,Togo,Avoided Forest Conversion,Mha,5.5303,-0.0002,0.0002,632.4788,451043.7152
PD22,Pathway,RUS,RUS,Russia,Avoided Forest Conversion,Mha,909.3295,-0.0002,0.0002,476.2872,521868.917
PD22,Pathway,EU15,GRC,Greece,Avoided Forest Conversion,Mha,5.3429,-0.0002,0.0002,543.5482,538045.1743
PD22,Pathway,SSA-M,BWA,Botswana,Avoided Forest Conversion,Mha,19.3143,-0.0002,0.0002,145.4382,550882.2379
PD22,Pathway,JPN,JPN,Japan,Avoided Forest Conversion,Mha,27.3605,-0.0001,0.0002,552.0275,902649.2756
PD22,Pathway,LAM-M,JAM,Jamaica,Avoided Forest Conversion,Mha,0.8092,0.0000,0.0002,546.5198,#DIV/0!
PD22,Pathway,SSA-L,GIN,Guinea,Avoided Coastal Impacts,Mha,0.2243,-0.3478,0.00196,1003.9174,287.5130627
PD22,Pathway,OAS-CPA,MNG,Mongolia,Avoided Forest Conversion,Mha,6.7146,0.0000,0.0002,729.7610,#DIV/0!
PD22,Pathway,SSA-L,GNB,Guinea-Bissau,Avoided Coastal Impacts,Mha,0.2568,-0.3196,0.00196,1167.0536,312.8528433
