Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
LBR,361009.271918262,,,,,,,,,,,,,,,,,,611308.892626138,,,,,676052.172844839,,,,,740414.21707353,,,,,,,,,,855423.357065509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855423.357065509
LKA,6465963.70441274,,,,,,,,,,,,,,,,,,7512241.00241381,,,,,7708150.22503512,,,,,7874480.65833728,,,,,,,,,,8099184.89302271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8099184.89302271
LSO,899331.084078665,,,,,,,,,,,,,,,,,,1470992.2118763,,,,,1598823.80187794,,,,,1723625.17451586,,,,,,,,,,1950795.96784684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950795.96784684
LTU,2315800.12668721,,,,,,,,,,,,,,,,,,2406526.87786553,,,,,2405176.82081771,,,,,2406953.86292011,,,,,,,,,,2418307.87147577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418307.87147577
LVA,1196990.99429624,,,,,,,,,,,,,,,,,,1167557.78670847,,,,,1145048.89228291,,,,,1123494.20007883,,,,,,,,,,1084521.35984596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084521.35984596
MAR,13492734.5046067,,,,,,,,,,,,,,,,,,18513926.9349993,,,,,19909813.41142,,,,,21344692.2630502,,,,,,,,,,23870164.3964785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23870164.3964785
MDA,1299013.28110589,,,,,,,,,,,,,,,,,,1549110.39932215,,,,,1570034.96986935,,,,,1585516.73706584,,,,,,,,,,1602004.47714515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602004.47714515
MDG,16088881.5261489,,,,,,,,,,,,,,,,,,28290166.9699907,,,,,31318208.8041215,,,,,34079129.4317988,,,,,,,,,,37894189.7895512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37894189.7895512
MEX,63196387.6595288,,,,,,,,,,,,,,,,,,79633354.9738977,,,,,82822184.0930462,,,,,85599053.7548074,,,,,,,,,,89882034.6000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89882034.6000902
MLI,14276621.0103156,,,,,,,,,,,,,,,,,,27441809.7012478,,,,,30814298.2226531,,,,,33937610.8913578,,,,,,,,,,38654427.9480935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38654427.9480935
MMR,60219987.7536201,,,,,,,,,,,,,,,,,,68132610.1292053,,,,,70235589.8967749,,,,,72059939.2356344,,,,,,,,,,74955364.511189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74955364.511189
MNG,6983991.65401097,,,,,,,,,,,,,,,,,,7909579.02221572,,,,,8054218.72529922,,,,,8183050.02613537,,,,,,,,,,8401729.52394609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8401729.52394609
MOZ,3654350.00116969,,,,,,,,,,,,,,,,,,6400911.83104706,,,,,7130250.25951577,,,,,7872023.72475289,,,,,,,,,,9281578.84818152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9281578.84818152
MRT,3484372.02506364,,,,,,,,,,,,,,,,,,5744032.77128878,,,,,6273327.43064944,,,,,6782058.28188839,,,,,,,,,,7695222.40556546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7695222.40556546
MUS,95064.372893007,,,,,,,,,,,,,,,,,,159004.814115112,,,,,171396.95093178,,,,,181794.389935573,,,,,,,,,,192938.695613043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192938.695613043
MWI,3383454.09834424,,,,,,,,,,,,,,,,,,5894184.7464179,,,,,6568048.0905714,,,,,7253497.91839556,,,,,,,,,,8530971.00632289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8530971.00632289
MYS,10199212.2927979,,,,,,,,,,,,,,,,,,11649173.9382691,,,,,11772881.0598195,,,,,11860998.9500647,,,,,,,,,,11972026.6441295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11972026.6441295
NAM,3184869.18947474,,,,,,,,,,,,,,,,,,5258861.80490317,,,,,5709359.05752256,,,,,6122748.84815602,,,,,,,,,,6784877.15025052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6784877.15025052
NER,15127940.6765186,,,,,,,,,,,,,,,,,,16930640.2886362,,,,,17176224.5852965,,,,,17269922.9589543,,,,,,,,,,17413289.8320847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17413289.8320847
NGA,49206397.8381061,,,,,,,,,,,,,,,,,,78791192.9629336,,,,,87735460.683131,,,,,95810730.5676552,,,,,,,,,,106769316.244577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106769316.244577
NIC,7173870.32673223,,,,,,,,,,,,,,,,,,9727670.12079913,,,,,10451997.9823978,,,,,11211933.1716834,,,,,,,,,,12784043.7469386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12784043.7469386
NLD,15620773.3657334,,,,,,,,,,,,,,,,,,12898016.8005332,,,,,12067564.1974227,,,,,11260767.3374066,,,,,,,,,,9695440.97692607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9695440.97692607
NOR,2142644.68793333,,,,,,,,,,,,,,,,,,2058156.04757019,,,,,2021184.25061377,,,,,1988838.17423895,,,,,,,,,,1938615.72121775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938615.72121775
NPL,23842719.4046354,,,,,,,,,,,,,,,,,,31008938.4614746,,,,,31334346.1942263,,,,,31424414.6822272,,,,,,,,,,31747373.4317314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31747373.4317314
NZL,18347806.073969,,,,,,,,,,,,,,,,,,17215975.3760601,,,,,16874573.5454949,,,,,16574726.2152207,,,,,,,,,,16083486.2589963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16083486.2589963
PAK,141989154.119294,,,,,,,,,,,,,,,,,,257087521.306797,,,,,251891183.156635,,,,,246585486.111954,,,,,,,,,,236849487.24113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236849487.24113
PAN,2895950.30434865,,,,,,,,,,,,,,,,,,3702938.5515725,,,,,3831816.60075687,,,,,3939698.94332043,,,,,,,,,,4075892.28546622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4075892.28546622
PER,16852627.9355167,,,,,,,,,,,,,,,,,,22659954.8069598,,,,,23755837.2088932,,,,,24805749.9800969,,,,,,,,,,26709364.7760481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26709364.7760481
PHL,52079702.1762705,,,,,,,,,,,,,,,,,,51532158.5658713,,,,,50756638.0303273,,,,,49883287.2220911,,,,,,,,,,47886331.6042228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47886331.6042228
POL,18019275.109762,,,,,,,,,,,,,,,,,,19509364.3026552,,,,,19694619.2072891,,,,,19851252.4066509,,,,,,,,,,20115179.8397062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20115179.8397062
PRK,5260316.6270494,,,,,,,,,,,,,,,,,,6283385.61713252,,,,,6422448.08492759,,,,,6538838.99026554,,,,,,,,,,6753535.14878467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6753535.14878467
PRT,5274043.03730191,,,,,,,,,,,,,,,,,,4409769.02933338,,,,,4155216.64427584,,,,,3909341.90918657,,,,,,,,,,3443897.98191644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3443897.98191644
PRY,19200409.4447604,,,,,,,,,,,,,,,,,,22639675.2014854,,,,,22912729.9313647,,,,,23075353.861548,,,,,,,,,,23487815.5073921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23487815.5073921
ROU,10134492.6759799,,,,,,,,,,,,,,,,,,11332416.3000832,,,,,11362467.6707551,,,,,11352197.0157325,,,,,,,,,,11254714.5376555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11254714.5376555
RUS,60857294.870072,,,,,,,,,,,,,,,,,,81895558.3461386,,,,,86258531.4696249,,,,,90081892.038219,,,,,,,,,,96302182.5768199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96302182.5768199
RWA,2449458.63478192,,,,,,,,,,,,,,,,,,3338617.402626,,,,,3570980.81109582,,,,,3811915.70653867,,,,,,,,,,4259935.87795038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4259935.87795038
SAU,4364359.65682553,,,,,,,,,,,,,,,,,,3932632.41291946,,,,,3778787.89838478,,,,,3621623.04003088,,,,,,,,,,3295631.0095452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3295631.0095452
SEN,5332679.82740226,,,,,,,,,,,,,,,,,,10070482.9279626,,,,,11153607.3115846,,,,,12129911.2611203,,,,,,,,,,13497779.8006162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13497779.8006162
SLE,2232133.61101416,,,,,,,,,,,,,,,,,,3444325.20849916,,,,,3755591.00591296,,,,,4070443.19626806,,,,,,,,,,4625291.1363206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4625291.1363206
SLV,2098645.56392487,,,,,,,,,,,,,,,,,,2448141.45139279,,,,,2524036.59721088,,,,,2601310.53972936,,,,,,,,,,2747889.38857966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2747889.38857966
SRB,4257029.57144815,,,,,,,,,,,,,,,,,,5271267.42576569,,,,,5456859.76093663,,,,,5629223.35916825,,,,,,,,,,5933206.13645904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5933206.13645904
SUR,543341.881967831,,,,,,,,,,,,,,,,,,445016.844160392,,,,,408342.150428633,,,,,369696.688273192,,,,,,,,,,285081.763369692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285081.763369692
SVK,1883761.44188722,,,,,,,,,,,,,,,,,,1880378.48380023,,,,,1852618.20936988,,,,,1826500.52722724,,,,,,,,,,1783021.04873894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783021.04873894
SWE,4212113.39913957,,,,,,,,,,,,,,,,,,3876732.64204804,,,,,3758362.98486527,,,,,3646036.30997496,,,,,,,,,,3440686.51549935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440686.51549935
SWZ,801923.293989535,,,,,,,,,,,,,,,,,,1199426.34860166,,,,,1289494.69016747,,,,,1375889.0255945,,,,,,,,,,1526725.79208214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526725.79208214
TCD,10598218.940639,,,,,,,,,,,,,,,,,,19400865.3600547,,,,,21537517.03035,,,,,23506195.1410123,,,,,,,,,,26373937.1017361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26373937.1017361
TGO,1332378.45324682,,,,,,,,,,,,,,,,,,2457331.01236731,,,,,2750800.1628284,,,,,3046355.70480836,,,,,,,,,,3586360.81721112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3586360.81721112
THA,65075108.0562814,,,,,,,,,,,,,,,,,,69778007.3793552,,,,,70291826.8359625,,,,,70736023.5454417,,,,,,,,,,71347997.2121468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71347997.2121468
TJK,5096992.88516453,,,,,,,,,,,,,,,,,,4830475.59864863,,,,,4706190.57239965,,,,,4578356.04705985,,,,,,,,,,4303149.59783546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4303149.59783546
TKM,9168446.83153668,,,,,,,,,,,,,,,,,,8982617.15542761,,,,,8658086.87039743,,,,,8260615.67410896,,,,,,,,,,7303979.54751026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7303979.54751026
TTO,1125874.34134831,,,,,,,,,,,,,,,,,,728844.320082948,,,,,607202.592108856,,,,,485652.33943167,,,,,,,,,,241619.132882717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241619.132882717
TUN,3829099.48315424,,,,,,,,,,,,,,,,,,4513896.25378715,,,,,4612815.10943532,,,,,4690495.55367011,,,,,,,,,,4770650.66997483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4770650.66997483
TUR,40085447.3568461,,,,,,,,,,,,,,,,,,55818329.5290572,,,,,57558363.2429893,,,,,58503492.6877293,,,,,,,,,,58624022.6201753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58624022.6201753
TWN,1804511.15100001,,,,,,,,,,,,,,,,,,1869252.65154357,,,,,1866177.65457705,,,,,1857370.40499763,,,,,,,,,,1840332.65635674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840332.65635674
TZA,30980019.4408884,,,,,,,,,,,,,,,,,,58842389.4353645,,,,,65701854.6800026,,,,,71156310.8130708,,,,,,,,,,76844728.3082855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76844728.3082855
UGA,17539572.5654053,,,,,,,,,,,,,,,,,,19181508.5576199,,,,,19517610.1708873,,,,,19748964.2011945,,,,,,,,,,20229385.8473928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20229385.8473928
UKR,24874488.8666202,,,,,,,,,,,,,,,,,,35245383.0023073,,,,,37065969.8400205,,,,,38615527.8415865,,,,,,,,,,40927039.3380699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40927039.3380699
URY,19134174.1144163,,,,,,,,,,,,,,,,,,22337200.9067014,,,,,22482116.1462919,,,,,22432149.4058453,,,,,,,,,,21882664.8002729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21882664.8002729
USA,355190688.895046,,,,,,,,,,,,,,,,,,314340356.471514,,,,,298304301.524072,,,,,280423463.98562,,,,,,,,,,243465771.478053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243465771.478053
UZB,26833022.8304772,,,,,,,,,,,,,,,,,,24456950.3522925,,,,,23441863.7711997,,,,,22389489.2840203,,,,,,,,,,20197736.059968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20197736.059968
VEN,26259025.934328,,,,,,,,,,,,,,,,,,40290125.9623315,,,,,42883774.5493447,,,,,45002418.6315952,,,,,,,,,,47332705.2584651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47332705.2584651
VNM,59097143.1131205,,,,,,,,,,,,,,,,,,70255379.3117279,,,,,71969013.5713527,,,,,73292099.7325272,,,,,,,,,,74941063.274034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74941063.274034
XEAP,2480151.01012199,,,,,,,,,,,,,,,,,,2278236.80410104,,,,,2186845.18515452,,,,,2094100.96773394,,,,,,,,,,1911939.36595544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911939.36595544
XECA,1002146.7627255,,,,,,,,,,,,,,,,,,1070209.53644587,,,,,1074151.80494225,,,,,1076179.35362536,,,,,,,,,,1074436.71517704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074436.71517704
XEU,1856360.49110706,,,,,,,,,,,,,,,,,,1588268.58394279,,,,,1516736.23632637,,,,,1450659.97746378,,,,,,,,,,1331728.01766901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331728.01766901
XHIC,8686981.53717499,,,,,,,,,,,,,,,,,,8283819.60951819,,,,,8037262.74675486,,,,,7765139.95862933,,,,,,,,,,7140695.5206342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7140695.5206342
XLAC,486488.742319877,,,,,,,,,,,,,,,,,,529202.215777973,,,,,536980.282142356,,,,,544164.378420308,,,,,,,,,,556318.514138293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556318.514138293
XMNA,378121.500902922,,,,,,,,,,,,,,,,,,393407.228169713,,,,,393775.056388607,,,,,393918.334600781,,,,,,,,,,393153.592211136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393153.592211136
XSAS,518293.842505742,,,,,,,,,,,,,,,,,,899992.493161567,,,,,994175.31729799,,,,,1082728.74383795,,,,,,,,,,1203860.93893059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203860.93893059
XSSA,1923394.96739588,,,,,,,,,,,,,,,,,,2131552.51562848,,,,,2163220.89752374,,,,,2186439.79085188,,,,,,,,,,2192769.43237373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192769.43237373
YEM,5351131.52205917,,,,,,,,,,,,,,,,,,6091190.27577281,,,,,6333611.05150026,,,,,6578690.89925815,,,,,,,,,,6948154.82872258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6948154.82872258
ZAF,32999234.0343736,,,,,,,,,,,,,,,,,,64221690.1362007,,,,,69900628.1116013,,,,,74208029.4399357,,,,,,,,,,77954680.2467203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77954680.2467203
ZMB,4335700.28216166,,,,,,,,,,,,,,,,,,8173272.39988795,,,,,9137990.99876435,,,,,10081715.5161068,,,,,,,,,,11726707.2129809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11726707.2129809
ZWE,5967509.95918738,,,,,,,,,,,,,,,,,,12197840.3587491,,,,,13940843.7495683,,,,,15707545.6994918,,,,,,,,,,18866664.8371082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18866664.8371082
